title,year,rating,duration_minutes,metascore,actors,imdb_id,scraped_at
The Shawshank Redemption,1994,9.3,142,82,Tim Robbins|Morgan Freeman|Bob Gunton,tt0111161,2025-07-28T09:45:55.217899
The Godfather,1972,9.2,175,100,Marlon Brando|Al Pacino|James Caan,tt0068646,2025-07-28T09:46:05.798130
The Dark Knight,2008,9.1,152,85,Christian Bale|Heath Ledger|Aaron Eckhart,tt0468569,2025-07-28T09:46:13.985243
The Godfather Part II,1974,9.0,202,90,Al Pacino|Robert De Niro|Robert Duvall,tt0071562,2025-07-28T09:46:18.085152
12 Angry Men,1957,9.0,96,97,Henry Fonda|Lee J. Cobb|Martin Balsam,tt0050083,2025-07-28T09:46:24.973180
The Lord of the Rings: The Return of the King,2003,9.0,201,94,Elijah Wood|Viggo Mortensen|Ian McKellen,tt0167260,2025-07-28T09:46:34.244747
Schindler's List,1993,9.0,195,95,Liam Neeson|Ralph Fiennes|Ben Kingsley,tt0108052,2025-07-28T09:46:40.077547
Pulp Fiction,1994,8.8,154,95,John Travolta|Uma Thurman|Samuel L. Jackson,tt0110912,2025-07-28T09:46:46.437257
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92,Elijah Wood|Ian McKellen|Orlando Bloom,tt0120737,2025-07-28T09:46:53.112631
"The Good, the Bad and the Ugly",1966,8.8,178,90,Clint Eastwood|Eli Wallach|Lee Van Cleef,tt0060196,2025-07-28T09:46:57.940602
Forrest Gump,1994,8.8,142,82,Tom Hanks|Robin Wright|Gary Sinise,tt0109830,2025-07-28T09:47:09.506926
The Lord of the Rings: The Two Towers,2002,8.8,179,87,Elijah Wood|Ian McKellen|Viggo Mortensen,tt0167261,2025-07-28T09:47:15.253403
Fight Club,1999,8.8,139,67,Brad Pitt|Edward Norton|Meat Loaf,tt0137523,2025-07-28T09:47:24.826210
Goodfellas,1990,8.7,145,92,Robert De Niro|Ray Liotta|Joe Pesci,tt0099685,2025-07-28T09:47:30.490661
Interstellar,2014,8.7,169,74,Matthew McConaughey|Anne Hathaway|Jessica Chastain,tt0816692,2025-07-28T09:47:36.289870
One Flew Over the Cuckoo's Nest,1975,8.7,133,84,Jack Nicholson|Louise Fletcher|Michael Berryman,tt0073486,2025-07-28T09:47:46.769804
Se7en,1995,8.6,127,65,Morgan Freeman|Brad Pitt|Kevin Spacey,tt0114369,2025-07-28T09:47:51.500946
It's a Wonderful Life,1946,8.6,130,89,James Stewart|Donna Reed|Lionel Barrymore,tt0038650,2025-07-28T09:47:58.836848
The Lord of the Rings: The Return of the King,2003,9.0,201,94,Elijah Wood|Viggo Mortensen|Ian McKellen,tt0167260,2025-07-28T09:48:03.796506
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92,Elijah Wood|Ian McKellen|Orlando Bloom,tt0120737,2025-07-28T09:48:08.983630
"The Good, the Bad and the Ugly",1966,8.8,178,90,Clint Eastwood|Eli Wallach|Lee Van Cleef,tt0060196,2025-07-28T09:48:19.679443
The Lord of the Rings: The Two Towers,2002,8.8,179,87,Elijah Wood|Ian McKellen|Viggo Mortensen,tt0167261,2025-07-28T09:48:24.262630
Inception,2010,8.8,148,74,Leonardo DiCaprio|Joseph Gordon-Levitt|Elliot Page,tt1375666,2025-07-28T09:48:37.944383
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,82,Mark Hamill|Harrison Ford|Carrie Fisher,tt0080684,2025-07-28T09:48:44.263367
Interstellar,2014,8.7,169,74,Matthew McConaughey|Anne Hathaway|Jessica Chastain,tt0816692,2025-07-28T09:48:59.495364
